rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,thstrm_add_amount,frmtrm_nm,frmtrm_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency
20260310002820,11011,2025,00126380,CF,현금흐름표,dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 취득,-,제 57 기,13533556000000,,제 56 기,3987279000000,,,,제 55 기,5307770000000,23,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,-표준계정코드 미사용-,단기상각후원가금융자산의 순감소(증가),-,제 57 기,0,,제 56 기,620858000000,,,,제 55 기,-195616000000,24,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,-표준계정코드 미사용-,단기당기손익-공정가치금융자산의 순감소(증가),-,제 57 기,11163000000,,제 56 기,-9735000000,,,,제 55 기,2718000000,25,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,-표준계정코드 미사용-,단기금융상품의 순감소(증가),-,제 57 기,-6701150000000,,제 56 기,-32976756000000,,,,제 55 기,39421565000000,26,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_CashFlowsFromLosingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,사업양도로 인한 현금유입액,-,제 57 기,418093000000,,제 56 기,0,,,,제 55 기,0,27,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,사업결합으로 인한 순현금유출액,-,제 57 기,3131539000000,,제 56 기,142156000000,,,,제 55 기,356511000000,28,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_OtherInflowsOutflowsOfCashClassifiedAsInvestingActivities,기타투자활동으로 인한 현금유출입액,-,제 57 기,-226491000000,,제 56 기,17114000000,,,,제 55 기,-913897000000,29,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities,정부보조금의 수취,-,제 57 기,1722357000000,,제 56 기,0,,,,제 55 기,0,30,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,-,제 57 기,13554000000,,제 56 기,15869000000,,,,제 55 기,11744000000,31,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_ProceedsFromSalesOfInvestmentsAccountedForUsingEquityMethod,관계기업 및 공동기업 투자의 처분,-,제 57 기,6643000000,,제 56 기,33178000000,,,,제 55 기,33457000000,32,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,-,제 57 기,149828000000,,제 56 기,156191000000,,,,제 55 기,98341000000,33,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,-,제 57 기,4630970000000,,제 56 기,2335284000000,,,,제 55 기,2922875000000,34,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_PurchaseOfInterestsInInvestmentsAccountedForUsingEquityMethod,관계기업 및 공동기업 투자의 취득,-,제 57 기,325146000000,,제 56 기,11710000000,,,,제 55 기,78690000000,35,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,-,제 57 기,47522179000000,,제 56 기,51406355000000,,,,제 55 기,57611292000000,36,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,-,제 57 기,85315148000000,,제 56 기,72982621000000,,,,제 55 기,44137427000000,37,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInOperations,영업에서 창출된 현금흐름,-,제 57 기,87988515000000,,제 56 기,75830873000000,,,,제 55 기,46547889000000,38,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로 인한 자산부채의 변동,-,제 57 기,-9613906000000,,제 56 기,-1567557000000,,,,제 55 기,-5458745000000,39,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_AdjustmentsForReconcileProfitLoss,조정,-,제 57 기,52395616000000,,제 56 기,42947079000000,,,,제 55 기,36519534000000,40,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_ProfitLoss,당기순이익,-,제 57 기,45206805000000,,제 56 기,34451351000000,,,,제 55 기,15487100000000,41,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금 수입,-,제 57 기,253105000000,,제 56 기,268482000000,,,,제 55 기,269169000000,42,KRW
20260310002820,11011,2025,00126380,CF,현금흐름표,ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세 납부액,-,제 57 기,7137295000000,,제 56 기,6450044000000,,,,제 55 기,6620950000000,43,KRW
